"filename", "language", "PHP", "JavaScript", "CSS", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcionesGenero.js", "JavaScript", 0, 55, 0, 0, 0, 15, 70
"c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcionesLector.js", "JavaScript", 0, 121, 0, 0, 0, 38, 159
"c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcionesPrestamo.js", "JavaScript", 0, 218, 0, 0, 0, 58, 276
"c:\xampp\htdocs\prueba\public_html\biblioteca\js\funcioneslibro.js", "JavaScript", 0, 78, 0, 0, 0, 32, 110
"c:\xampp\htdocs\prueba\public_html\biblioteca\js\jquery.js", "JavaScript", 0, 3, 0, 0, 1, 1, 5
"c:\xampp\htdocs\prueba\public_html\biblioteca\js\vistas.js", "JavaScript", 0, 212, 0, 0, 0, 88, 300
"c:\xampp\htdocs\prueba\public_html\biblioteca\listarAutor.php", "PHP", 41, 0, 0, 0, 0, 18, 59
"c:\xampp\htdocs\prueba\public_html\biblioteca\listarBibliotecario.php", "PHP", 59, 0, 0, 0, 0, 33, 92
"c:\xampp\htdocs\prueba\public_html\biblioteca\listarEditorial.php", "PHP", 41, 0, 0, 0, 0, 18, 59
"c:\xampp\htdocs\prueba\public_html\biblioteca\listarGenero.php", "PHP", 41, 0, 0, 0, 0, 18, 59
"c:\xampp\htdocs\prueba\public_html\biblioteca\listarLector.php", "PHP", 59, 0, 0, 0, 0, 32, 91
"c:\xampp\htdocs\prueba\public_html\biblioteca\listarLibro.php", "PHP", 71, 0, 0, 0, 0, 38, 109
"c:\xampp\htdocs\prueba\public_html\biblioteca\listarStockLibros.php", "PHP", 62, 0, 0, 0, 0, 20, 82
"c:\xampp\htdocs\prueba\public_html\biblioteca\vmetrica.php", "PHP", 104, 0, 0, 0, 12, 32, 148
"c:\xampp\htdocs\prueba\public_html\css\hoja_acercade.css", "CSS", 0, 0, 79, 0, 0, 25, 104
"c:\xampp\htdocs\prueba\public_html\css\hoja_index.css", "CSS", 0, 0, 145, 0, 1, 53, 199
"c:\xampp\htdocs\prueba\public_html\css\hoja_inicio.css", "CSS", 0, 0, 59, 0, 0, 25, 84
"c:\xampp\htdocs\prueba\public_html\css\hoja_libros.css", "CSS", 0, 0, 58, 0, 2, 25, 85
"c:\xampp\htdocs\prueba\public_html\db\dbbiblioteca.sql", "SQL", 0, 0, 0, 241, 178, 99, 518
"c:\xampp\htdocs\prueba\public_html\db\dbbiblioteca_old.sql", "SQL", 0, 0, 0, 216, 163, 89, 468
"c:\xampp\htdocs\prueba\public_html\dbconexion.php", "PHP", 3, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\prueba\public_html\index.php", "PHP", 93, 0, 0, 0, 4, 59, 156
"c:\xampp\htdocs\prueba\public_html\js\funcionesLibros.js", "JavaScript", 0, 16, 0, 0, 0, 5, 21
"c:\xampp\htdocs\prueba\public_html\js\jquery.js", "JavaScript", 0, 3, 0, 0, 1, 1, 5
"c:\xampp\htdocs\prueba\public_html\js\vistas.js", "JavaScript", 0, 43, 0, 0, 0, 17, 60
"c:\xampp\htdocs\prueba\public_html\listarlibros.php", "PHP", 54, 0, 0, 0, 0, 37, 91
"Total", "-", 2970, 1080, 2074, 457, 672, 2793, 10046
